year,code_amc,a_banana,y_banana,spei,tmp,pre,year2,tmp2,pre2,tmp_pre,tmp2_pre2
1988,1001.0,20862.0,792.1100565621705,-1.249279992375259,26.35676390523613,1650.9401199297597,3952144,694.679003556358,2725603.2795936894,43513.438962670894,1893419370.3580856
1989,1001.0,20793.0,832.5878901553407,1.0821535602767975,25.79384780605521,2117.331089138647,3956121,665.3225846419392,4483090.941033049,54614.11586827138,2982701652.0729713
1990,1001.0,17666.0,782.6333069172422,-0.6465232087473582,25.86440368684764,1784.9153294117525,3960100,668.9673780762179,3185922.733169065,46165.770626748206,2131278377.5615273
1991,1001.0,19204.0,837.5859196000833,-0.4182534676372329,26.154925231555367,1828.7645083851585,3964081,684.0801138682516,3344379.62712921,47831.19898293593,2287823596.1452107
1992,1001.0,28370.0,857.3493126542122,-0.060953056636002,26.08720819673187,1878.3480540591663,3968064,680.5424314996344,3528191.4121878566,49000.85675216764,2401083962.4464526
1993,1001.0,34631.0,841.9046519014755,0.9624286589130928,25.969249001305773,2116.377508147242,3972049,674.4018936918209,4479053.756991531,54960.73448983877,3020682335.6625533
1994,1001.0,30917.0,843.6782352750914,1.0517168241070198,26.362255351063887,2121.2663356791813,3976036,694.9685071946965,4499770.866885781,55921.36480879018,3127199042.077797
1995,1001.0,30963.0,836.1269902787197,-1.0873868981555694,26.227080615316503,1697.6079160782162,3980025,687.8597576023107,2881872.636731424,44523.29966818283,1982324213.3428092
1996,1001.0,5505.0,814.5322434150772,0.7761216972289717,25.94154887631662,2022.131970586588,3984016,672.9639581023241,4089017.7064683978,52457.23534933442,2751761540.49546
1997,1001.0,5961.0,815.2994464016105,-0.5069222696858957,26.24070786551781,1787.4474459640028,3988009,688.5747492834482,3194968.3720832365,46903.88625450733,2199974545.775761
1998,1001.0,7787.0,771.2854757929883,-0.7985747649727479,26.478677372756827,1746.7492201591683,3992004,701.1203554105444,3051132.8381266627,46251.6090517092,2139211339.872149
1999,1001.0,7985.0,741.1396368190357,0.4981575276697365,25.85944896581828,2013.114799823707,3996001,668.7111008157601,4052631.197269244,52058.039428374635,2710039469.1262083
2000,1001.0,7932.0,739.6621280887545,0.6624958969128866,26.02104613733697,2070.222982563311,4000000,677.0948420814193,4285823.19753333,53869.36774385526,2901908781.1227136
2001,1001.0,6703.0,8359.988065045502,0.4231148678017912,26.093036267304893,2003.6956909439043,4004001,680.8465416468885,4014796.42190717,52282.50433244183,2733460259.271799
2002,1001.0,5647.0,8224.366920488756,0.0532353368571962,26.386676937594967,1994.524565656192,4008004,696.2567198090061,3978128.2430060213,52628.875358066856,2769798521.454937
2003,1001.0,6890.0,8136.139332365748,-0.3678897721666536,25.94260530296196,1877.113562565012,4012009,673.0187699052701,3523555.326765511,48697.2162624609,2371418871.7128863
2004,1001.0,6851.0,8191.06699751861,0.6721556684320197,26.42470826981088,2015.0288599895007,4016016,698.2652071446114,4060341.306590587,53246.549780472145,2835195063.524298
2005,1001.0,6781.0,8489.898245096594,-0.638424551998273,26.44575384520944,1819.815760669222,4020025,699.3778964414098,3311729.4027800993,48126.39965029082,2316150343.2995124
2006,1001.0,5401.0,8538.97426402518,1.2702595473718288,26.292198056202096,2195.836318407788,4024036,691.2796786265573,4821697.137238668,57733.36338257921,3333141247.4649377
2007,1001.0,5498.0,8493.270280101855,0.0141720332168359,26.09091744747108,1954.541418664516,4028049,680.7359732507509,3820232.157275099,50995.7788020389,2600569455.62648
2008,1001.0,5621.0,8549.724248354385,0.7561241633894592,25.93487105693763,2093.020263715101,4032064,672.6175367399812,4380733.824322031,54282.21065900874,2946558394.029002
2009,1001.0,5812.0,8462.319339298005,0.8056612964152298,26.16145577309152,2113.603773554729,4036081,684.4217681674237,4467320.91158479,55294.951643691384,3057531677.278169
2010,1001.0,6026.0,8801.360769996681,0.1965844147402012,26.29440250140074,1991.1177856618217,4040100,691.3956029056694,3964550.0363788363,52355.25248388971,2741072462.6518393
2011,1001.0,6327.0,8529.318792476688,0.0738404154706292,26.30197740411624,1966.55237244344,4044121,691.7940153666412,3867328.233562922,51724.21606401854,2675394527.4372735
2012,1001.0,6840.0,8647.807017543859,-0.5598919453421244,26.27892804483516,1843.4645835292915,4048144,690.5820591856238,3398361.670726824,48444.27314376827,2346847600.428027
2013,1001.0,8277.0,8532.680923039748,-0.1012877909619646,26.10630334673117,1835.5309158627776,4052169,681.5390744315471,3369173.7430880475,47918.92689181696,2296223554.463299
2014,1001.0,7772.0,10085.949562532169,-0.0467338877016986,26.52147396765755,1931.12663333882,4056196,703.3885814171371,3729250.0739905257,51216.32473434568,2623111919.293949
2015,1001.0,7677.0,10068.125569884069,-1.3651972934814756,26.88313604346753,1713.6243905561842,4060225,722.703003531583,2936508.5519090537,46067.59761872603,2122223550.3608525
2016,1001.0,7748.0,9886.809499225606,-1.7466701378903375,26.3602989003611,1505.0429771358502,4064256,694.8653581163787,2265154.3630259433,39673.382735190346,1573977297.6528997
2017,1001.0,8808.0,8681.653042688466,-1.0826292138457003,26.4107152416078,1655.983700198425,4068289,697.5258795732946,2742282.015322867,43735.71395068462,1912812674.7761095
2018,1001.0,6528.0,15299.938725490196,-0.5769128338724016,26.045385037197946,1761.455845084474,4072324,678.3620817358947,3102726.6941822586,45877.79571124802,2104772139.3230076
2019,1001.0,6350.0,13032.598425196851,-1.4614904299906055,26.463556948194423,1627.8625994025815,4076361,700.3198463503293,2649936.64253373,43079.03460312602,1855803222.3373291
2020,1001.0,6630.0,12665.912518853696,-1.9529550221798777,26.77237093752572,1475.5681254357185,4080400,716.7598456164719,2177301.2928018803,39504.457197754535,1560602138.4892204
2021,1001.0,6807.0,13927.721463199648,-1.6669365135377678,26.31642500334353,1510.585224011127,4084441,692.5542249566045,2281867.7190007465,39753.20275884771,1580317129.586057
2022,1001.0,7082.0,11571.025134142898,-2.126050310953396,26.244679832593576,1387.1283940215287,4088484,688.783219515344,1924125.1815007455,36404.74058779473,1325305137.264629
